,question,doc_id,course
0,When is the course starting?,911e9749bd,data-engineering-zoomcamp
1,What time does the course begin?,911e9749bd,data-engineering-zoomcamp
2,How do I join the Telegram channel?,911e9749bd,data-engineering-zoomcamp
3,Where do I register for the course?,911e9749bd,data-engineering-zoomcamp
4,Is there a Google Calendar link?,911e9749bd,data-engineering-zoomcamp
5,What are the course prerequisites?,0fce8dfe72,data-engineering-zoomcamp
6,Is there a required background for this course?,0fce8dfe72,data-engineering-zoomcamp
7,Do I need prior knowledge for this course?,0fce8dfe72,data-engineering-zoomcamp
8,What do I need to know before enrolling?,0fce8dfe72,data-engineering-zoomcamp
9,Are there any prerequisites?,0fce8dfe72,data-engineering-zoomcamp
10,Can I submit homework late?,4a142fd9f7,data-engineering-zoomcamp
11,Are there penalties for late projects?,4a142fd9f7,data-engineering-zoomcamp
12,When are the project deadlines?,4a142fd9f7,data-engineering-zoomcamp
13,Is registration mandatory to join?,4a142fd9f7,data-engineering-zoomcamp
14,Can I catch up on missed lectures?,4a142fd9f7,data-engineering-zoomcamp
15,When will I get the confirmation email?,31d3f3a32c,data-engineering-zoomcamp
16,Do I need to register to start?,31d3f3a32c,data-engineering-zoomcamp
17,Can I start learning right away?,31d3f3a32c,data-engineering-zoomcamp
18,Is registration necessary?,31d3f3a32c,data-engineering-zoomcamp
19,How do I submit homework?,31d3f3a32c,data-engineering-zoomcamp
20,What dependencies should I install?,d53c913160,data-engineering-zoomcamp
21,Do I need a Google Cloud account?,d53c913160,data-engineering-zoomcamp
22,Is Python required for the course?,d53c913160,data-engineering-zoomcamp
23,What is Terraform for?,d53c913160,data-engineering-zoomcamp
24,Where can I find the syllabus?,d53c913160,data-engineering-zoomcamp
25,How many Zoom Camps per year?,cbecae0b3c,data-engineering-zoomcamp
26,What is the schedule for Data-Engineering?,cbecae0b3c,data-engineering-zoomcamp
27,When is the MLOps Zoomcamp?,cbecae0b3c,data-engineering-zoomcamp
28,Can I take Zoom Camps at my own pace?,cbecae0b3c,data-engineering-zoomcamp
29,Is there a live cohort for Machine Learning?,cbecae0b3c,data-engineering-zoomcamp
30,What is Mage AI?,e83049b899,data-engineering-zoomcamp
31,Are there new videos?,e83049b899,data-engineering-zoomcamp
32,What changed from 2023?,e83049b899,data-engineering-zoomcamp
33,Is Airflow used now?,e83049b899,data-engineering-zoomcamp
34,How is the cohort different?,e83049b899,data-engineering-zoomcamp
35,Can I access course materials later?,d53aee64bb,data-engineering-zoomcamp
